file,y_tc_mean,ntc_mean,A_rms,B_rms,C_rms,D_rms,U_A,U_B,U_C,U_D,R_AB,R_AC,R_AD,R_BC,R_BD,R_CD
J2-T100-I2 Tp 4_Processed.unv,100.9427007039388,46.87656107306964,2.572278380393982,2.54420006275177,2.5886576175689697,2.645868420600891,-0.02804091389546226,-0.02399312994469982,-0.008574317704742374,0.021843334286959948,1.1687059570840448,3.2703376363058134,-1.2837286435799387,2.7982552980780557,-1.0984188416245253,-0.3925370363379494
J2-T100-I3 Tp 4_Processed.unv,101.06249237060548,60.43841791201851,2.5699020624160767,2.5480315685272217,2.5796412229537964,2.624501943588257,-0.030417231873367534,-0.02016162416924816,-0.017590712319915713,0.0004768572743256705,1.5086697191668668,1.729164306719404,-63.78686770875185,1.1461516624555181,-42.280206793026174,-36.888841309574126
J2-T105-I1 Tp 4_Processed.unv,105.5520757039388,35.98533787995823,2.555971145629883,2.5328800678253174,2.553584098815918,2.6194053888320923,-0.04434814865956138,-0.03531312487115246,-0.04364783645779413,-0.00461969748183888,1.255854553268088,1.0160446028623762,9.59979497226916,0.8090463981026634,7.6440340541727405,9.448202318308518
J2-T105-I2 Tp 4_Processed.unv,105.71353403727214,50.37485865297666,2.571106433868408,2.5348358154296875,2.574790358543396,2.6412166357040405,-0.02921286042103599,-0.03335737726678234,-0.022441576730316104,0.017191549390109362,0.8757541154210134,1.301729409305391,-1.6992569871475764,1.4864096969496885,-1.9403357143582125,-1.3053841873744776
J2-T105-I3 Tp 4_Processed.unv,105.9114507039388,63.21730766145505,2.5669620037078857,2.5394786596298218,2.569881319999695,2.6203644275665283,-0.03335729058155845,-0.028714533066648062,-0.027350615274017276,-0.003660658747402845,1.1616866798472496,1.2196175569493473,9.112373723779825,1.0498679016528922,7.844089014585251,7.471500940485622
J2-T110-I1 Tp 4_Processed.unv,109.64061737060548,56.84424996917395,2.5800132751464844,2.55783486366272,2.5738641023635864,2.6327273845672607,-0.02030601914295982,-0.01035832903374967,-0.023367832910125674,0.008702298253329577,1.9603566440879057,0.8689731401734253,-2.3334087791337828,0.4432729844307142,-1.1902980950792488,-2.685248451601269
J2-T110-I2 Tp 4_Processed.unv,109.93749237060548,66.43712924286876,2.5870492458343506,2.5543012619018555,2.582053542137146,2.6413573026657104,-0.013270048455093608,-0.013891930794614371,-0.015178393136566104,0.017332216351779284,0.9552342760185751,0.8742722853267568,-0.7656290566515653,0.9152438383709716,-0.801509196092412,-0.8757329604305295
J2-T110-I3 Tp 4_Processed.unv,110.14061737060548,75.118425461375,2.578569173812866,2.5537643432617188,2.574558138847351,2.6214425563812256,-0.021750120476577983,-0.01442884943475109,-0.022673796426361026,-0.0025825299327055795,1.5074050481249055,0.9592624043890083,8.42202067094399,0.636366718807434,5.587098624500646,8.779683882543384
J2-T115-I1 Tp 4_Processed.unv,115.18228403727214,50.93791492111405,2.582473397254944,2.56278657913208,2.5842772722244263,2.655686140060425,-0.017845897034500346,-0.005406613564389762,-0.01295466304928583,0.03166105374649364,3.3007532019748838,1.3775655118628625,-0.5636545510263291,0.4173488375436997,-0.1707654333832312,-0.40916714753123207
J2-T115-I2 Tp 4_Processed.unv,115.43749237060548,64.12132139013605,2.5947580337524414,2.5652201175689697,2.6012885570526123,2.6692726612091064,-0.005561260537002788,-0.0029730751275001133,0.004056621778900205,0.04524757489517528,1.8705415431862733,-1.3709093033835922,-0.12290737238153689,-0.7328943366039283,-0.06570683919277032,0.08965390495066641
